sep=,
"Time","temperature","windSpeed","solarRad","humedad","rain","Power_gen","pressure_sensor","pressure"
1708094907000,19.4444,17.7028,311,34,0,0,388.2175940788676,28.88
1708096107000,19.4444,20.9215,353,35,0,0,389.75712617778447,28.882
1708097073000,18.8889,16.0934,84,35,0,0,390.3187513303785,28.877
1708100373000,18.5,17.7028,39,37,0,0,386.5344532675536,28.89
1708101575000,18.3333,20.9215,58,37,0,0,386.83197849539783,28.894
1708102923000,17.8333,16.0934,21,39,0,0,386.935423470344,28.904
1708104130000,17.9444,17.7028,14,39,0,0,388.3556319074156,28.912
1708105134000,17.5,19.3121,12,41,0,0,386.51974213116176,28.921
1708109335000,16.3889,3.21869,0,47,0,0,384.2143636166322,28.948
1708113536000,15,0,0,49,0,0,386.0857135697219,28.991
1708117437000,15.0556,8.04672,0,53,0,0,385.22222657311374,29.004
1708121338000,14.2222,6.43738,0,56,0,0,385.6068510688021,29.01
1708125540000,12.1667,1.60934,0,63,0,0,385.76060079131963,29.021
1708133942000,11.8889,3.21869,0,60,0,0,385.3169315985482,29.028
1708138143000,10.3333,3.21869,0,66,0,0,386.10903122128184,29.023
1708142344000,10.7222,6.43738,0,70,0,0,386.1988658931716,29.02
1708146546000,10.1111,1.60934,0,70,0,0,385.9343990239767,29.047
1708150447000,9.61111,6.43738,0,66,0,0,387.58391438068065,29.043
1708154648000,10.6111,1.60934,47,65,0,0,385.02471038586566,29.057
1708158549000,14.1667,12.8748,243,46,0,0,385.9907750341861,29.086
1708159717000,14.7778,16.0934,301,44,0,0,386.4003517521445,29.092
1708163018000,15.9444,25.7495,436,35,0,0,386.27689162564474,29.102
1708163918000,15.7778,30.5775,471,33,0,0,389.68196928370077,29.106
1708165419000,16.5556,20.9215,501,32,0,0,385.9433057664181,29.121
1708166619000,16.0556,22.5308,533,36,0,0,387.5475868806109,29.115
1708167822000,17.1667,16.0934,557,33,0,0,388.7667431203265,29.127
1708169023000,16.8333,24.1402,577,34,0,0,386.71659114669137,29.127
1708170259000,17.6111,17.7028,557,32,0,0,388.1202870837312,29.121
1708171460000,17.7778,17.7028,592,35,0,0,387.22234066786484,29.113
1708172443000,17.2222,16.0934,589,39,0,0,385.9773648826451,29.113
1708174545000,17.2222,20.9215,577,42,0,0,386.98122480881585,29.107
1708177567000,18.0556,16.0934,522,41,0,0,386.44001511080654,29.106
1708178580000,18.2778,19.3121,499,42,0,0,387.46402362287455,29.111
1708180080000,17.7222,16.0934,454,43,0,0,386.98219220780754,29.106
1708181001000,17.6667,17.7028,422,44,0,0,386.33406824191616,29.107
1708181929000,18.0556,16.0934,390,41,0,0,386.50439718163733,29.111
1708183729000,18.3333,20.9215,315,41,0,0,387.0318631422465,29.123
1708184968000,17.4444,16.0934,265,44,0,0,387.09484415246845,29.113
1708188869000,16.7778,12.8748,70,54,0,0,386.7069171567738,29.137
1708190075000,15.1667,16.0934,28,63,0,0,385.929962332049,29.146
1708190997000,14.3333,16.0934,16,66,0,0,385.00029190097024,29.15
1708191933000,14.0556,16.0934,5,67,0,0,385.0344177343692,29.159
1708196134000,12.8889,1.60934,0,71,0,0,385.20594758318344,29.183
1708200335000,11.9444,6.43738,0,75,0,0,385.4447950583898,29.196
1708204536000,12.0556,0,0,69,0,0,384.7226817489218,29.222
1708208737000,10.8333,1.60934,0,74,0,0,385.77154240750224,29.233
1708212638000,11.2222,11.2654,0,70,0,0,385.8010313974579,29.222
1708216839000,9.22222,1.60934,0,79,0,0,384.5703664455989,29.232
1708221040000,8.94444,1.60934,0,77,0,0,385.5032393009262,29.241
1708225241000,8.55556,3.21869,0,79,0,0,385.5252893262212,29.233
1708229142000,8.22222,6.43738,0,81,0,0,385.63954248300627,29.227
